Date,ate 2,Payee,Amount,Memo,OrigPayee,Expense Type
1/24/2021,1/25/2021,amazon.cai39gl7z73 amazon.ca,-31.49,,AMAZON.CA*I39GL7Z73 AMAZON.CA ON,Supplies
1/24/2021,1/25/2021,marshalls 794 edmonton inteab,-47.23,,MARSHALLS 794 EDMONTON INTEAB,Undefined
1/24/2021,1/25/2021,elsafadi mediterrean markedmonton ab,-50,,ELSAFADI MEDITERREAN MARKEDMONTON AB,Supplies
1/24/2021,1/25/2021,barcelos flame grilled chedmonton ab,-37.45,,BARCELOS FLAME GRILLED CHEDMONTON AB,Undefined
1/25/2021,1/26/2021,amzn mktp cap58ui7qg3 www.amazon.caon,-39.89,,AMZN MKTP CA*P58UI7QG3 WWW.AMAZON.CAON,Supplies
1/25/2021,1/25/2021,hugo boss canada inc. concord,-333.98,,HUGO BOSS CANADA INC. CONCORD ON,Supplies
1/25/2021,1/25/2021,columbia 497 edmonton inteab,-283.47,,COLUMBIA 497 EDMONTON INTEAB,Undefined
1/25/2021,1/27/2021,shoppers drug mart ,-14.28,,SHOPPER'S DRUG MART#2374 EDMONTON AB,Meals and entertainment
1/26/2021,1/26/2021,amazon.cali47w20m3 amazon.ca,-31.49,,AMAZON.CA*LI47W20M3 AMAZON.CA ON,Supplies
1/26/2021,1/28/2021,myalberta fine payment ,-298,,MYALBERTA FINE PAYMENT EDMONTON AB,Payments
1/27/2021,1/28/2021,almadina halal meat & ,-22.8,,ALMADINA HALAL MEAT & EDMONTON AB,Undefined
1/28/2021,1/29/2021,apple.combill,-16.79,,APPLE.COM/BILL 866-712-7753 ON,Undefined
1/28/2021,2/1/2021,corpcentre.ca,-26.25,,CORPCENTRE.CA 866-9062677 QC,Undefined
1/29/2021,2/1/2021,new asian spice market ,-29.91,,NEW ASIAN SPICE MARKET EDMONTON AB,Undefined
1/29/2021,2/1/2021,dollarama 758 ,-10.89,,DOLLARAMA # 758 EDMONTON AB,Supplies
1/29/2021,2/1/2021,mcdonalds ,-18,,MCDONALD'S #40030 EDMONTON AB,Meals and entertainment
1/29/2021,2/1/2021,7-eleven store ,-75,,7-ELEVEN STORE #32844 EDMONTON AB,Fuel costs
1/29/2021,2/1/2021,allstate insurance 669 ,-1461,,ALLSTATE INSURANCE 669 EDMONTON AB,Undefined
1/31/2021,2/1/2021,googlegoogle storage internet,-2.79,,GOOGLE*GOOGLE STORAGE INTERNET NS,Undefined
1/31/2021,2/2/2021,save foods ,-22.92,,SAVE ON FOODS #6664 EDMONTON AB,Supplies
1/31/2021,2/1/2021,cdn tire store ,-26.21,,CDN TIRE STORE #00397 EDMONTON AB,Supplies
2/1/2021,2/2/2021,logmeingotoconnect logmein.com,-93.2,,LOGMEIN*GOTOCONNECT LOGMEIN.COM QC,Undefined
2/1/2021,2/2/2021,amzn mktp caox2a29s43 www.amazon.caon,-15.69,,AMZN MKTP CA*OX2A29S43 WWW.AMAZON.CAON,Supplies
2/1/2021,2/1/2021,amzn mktp caq71qo9ys3 www.amazon.caon,-41.99,,AMZN MKTP CA*Q71QO9YS3 WWW.AMAZON.CAON,Supplies
2/1/2021,2/3/2021,save foods ,-26.93,,SAVE ON FOODS #6664 EDMONTON AB,Supplies
2/2/2021,2/3/2021,www costco on,-187.94,,WWW COSTCO CA 888-426-7826 ON,Supplies
2/2/2021,2/2/2021,amazon.caht48o4ks3 amazon.ca,-25.19,,AMAZON.CA*HT48O4KS3 AMAZON.CA ON,Supplies
2/2/2021,2/2/2021,amazon.caul6x89h53 amazon.ca,-89.24,,AMAZON.CA*UL6X89H53 AMAZON.CA ON,Supplies
2/4/2021,2/4/2021,skipthedishes winnipeg,-67.56,,SKIPTHEDISHES WINNIPEG MB,Meals and entertainment
2/4/2021,2/5/2021,j2 myfax services,-13.17,,J2 *MYFAX SERVICES 877-437-3607 CA,Undefined
2/4/2021,2/5/2021,tradestation technolog www.tradestatfl,-130.37,,TRADESTATION TECHNOLOG WWW.TRADESTATFL,Undefined
2/4/2021,2/5/2021,amzn mktp cawv2qx0823 www.amazon.caon,-32.53,,AMZN MKTP CA*WV2QX0823 WWW.AMAZON.CAON,Supplies
2/4/2021,2/5/2021,& out registry ab,-1389,,IN & OUT REGISTRY NC 888-4607771 AB,Undefined
2/5/2021,2/8/2021,shoppers drug mart ,-123.89,,SHOPPER'S DRUG MART#2374 EDMONTON AB,Meals and entertainment
2/6/2021,2/9/2021,sobeys namao ,-99.74,,SOBEYS NAMAO #5480 EDMONTON AB,Supplies
2/6/2021,2/8/2021,amazon.ca017lz8kp3 amazon.ca,-161.14,,AMAZON.CA*017LZ8KP3 AMAZON.CA ON,Supplies
2/6/2021,2/8/2021,shaw cablesystems calgary ab,-63,,SHAW CABLESYSTEMS CALGARY AB,Internet
2/7/2021,2/10/2021,w8tech sa 7754504856,-130.86,,W8TECH SA 7754504856 NV,Undefined
2/7/2021,2/8/2021,paypal zohocorpora zoho-402-935-7733,-25.4,,PAYPAL *ZOHOCORPORA ZOHO-402-935-7733 CA,Undefined
2/8/2021,2/9/2021,amazon.cacx6rk1lt3 amazon.ca,-272.99,,AMAZON.CA*CX6RK1LT3 AMAZON.CA ON,Supplies
2/9/2021,2/10/2021,www costco on,-73.49,,WWW COSTCO CA 888-426-7826 ON,Supplies
2/9/2021,2/10/2021,almadina halal meat & ,-21.8,,ALMADINA HALAL MEAT & EDMONTON AB,Undefined
2/9/2021,2/11/2021,7-eleven store ,-83.08,,7-ELEVEN STORE #32844 EDMONTON AB,Fuel costs
2/10/2021,2/10/2021,amzn mktp cazl70p2lm3 www.amazon.caon,-28.99,,AMZN MKTP CA*ZL70P2LM3 WWW.AMAZON.CAON,Supplies
2/10/2021,2/11/2021,amzn mktp cau21w85ki3 www.amazon.caon,-20.09,,AMZN MKTP CA*U21W85KI3 WWW.AMAZON.CAON,Supplies
2/10/2021,2/11/2021,logmeingotoconnect logmein.com,-28.59,,LOGMEIN*GOTOCONNECT LOGMEIN.COM QC,Undefined
2/11/2021,2/11/2021,tim hortons ,-5.07,,TIM HORTONS #2282 EDMONTON AB,Meals and entertainment
2/11/2021,2/15/2021,save foods ,-40.52,,SAVE ON FOODS #6664 EDMONTON AB,Supplies
2/12/2021,2/15/2021,tim hortons ,-2.49,,TIM HORTONS #2282 EDMONTON AB,Meals and entertainment
2/12/2021,2/15/2021,direct energy regulated ,-162.83,,DIRECT ENERGY REGULATED EDMONTON AB,Undefined
2/12/2021,2/15/2021,dollarama 758 ,-9.45,,DOLLARAMA # 758 EDMONTON AB,Supplies
2/12/2021,2/15/2021,shoppers drug mart 2370 ,-59.32,,SHOPPER'S DRUG MART 2370 EDMONTON AB,Meals and entertainment
2/12/2021,2/15/2021,save foods ,-16.95,,SAVE ON FOODS #6667 EDMONTON AB,Supplies
2/13/2021,2/15/2021,intuit canada ab,-84,,INTUIT CANADA 888-843-5449 AB,Undefined
2/13/2021,2/15/2021,marshalls 745 ,-34.57,,MARSHALLS 745 EDMONTON AB,Undefined
2/13/2021,2/15/2021,cookies by george ,-12,,COOKIES BY GEORGE EDMONTON AB,Undefined
2/13/2021,2/15/2021,the bedouins restaurant ,-92.35,,THE BEDOUINS RESTAURANT EDMONTON AB,Meals and entertainment
2/14/2021,2/16/2021,paypal contactlens 4029357733,-105.02,,PAYPAL *CONTACTLENS 4029357733 ON,Undefined
2/14/2021,2/15/2021,sephora kingsway mall ,-209.27,,SEPHORA KINGSWAY MALL EDMONTON AB,Meals and entertainment
2/14/2021,2/15/2021,winners 232 ,-84.63,,WINNERS 232 EDMONTON AB,Undefined
2/14/2021,2/15/2021,real cdn superstore ,-46.23,,REAL CDN SUPERSTORE #1 EDMONTON AB,Undefined
2/15/2021,2/16/2021,j2 myfax services,-13.02,,J2 *MYFAX SERVICES 877-437-3607 CA,Undefined
2/15/2021,2/16/2021,corpcentre.ca,-26.25,,CORPCENTRE.CA 866-9062677 QC,Undefined
2/15/2021,2/15/2021,lululemoncom,-144.9,,LULULEMONCOM* 877-263-9300 BC,Supplies
2/16/2021,2/17/2021,amazon.call4pr2373 amazon.ca,-50,,AMAZON.CA*LL4PR2373 AMAZON.CA ON,Supplies
2/16/2021,2/17/2021,j2 myfax services,-13.02,,J2 *MYFAX SERVICES 877-437-3607 CA,Undefined
2/17/2021,2/18/2021,apple.combill,-4.19,,APPLE.COM/BILL 866-712-7753 ON,Undefined
2/17/2021,2/18/2021,skipthedishes winnipeg,-20.88,,SKIPTHEDISHES WINNIPEG MB,Meals and entertainment
2/18/2021,2/18/2021,tim hortons ,-2.49,,TIM HORTONS #2282 EDMONTON AB,Meals and entertainment
2/18/2021,2/22/2021,petrocan-16441-97th st.nwedmonton ab,-87.97,,PETROCAN-16441-97TH ST.NWEDMONTON AB,Fuel costs
2/19/2021,2/22/2021,real cdn superstore ,-178.8,,REAL CDN SUPERSTORE #1 EDMONTON AB,Undefined
2/19/2021,2/22/2021,dollarama ,-18.05,,DOLLARAMA #409 EDMONTON AB,Supplies
2/19/2021,2/22/2021,mcdonalds ,-8.15,,MCDONALD'S #14494 EDMONTON AB,Meals and entertainment
2/20/2021,2/22/2021,amzn mktp ca3t5vx2913 www.amazon.caon,-59.98,,AMZN MKTP CA*3T5VX2913 WWW.AMAZON.CAON,Supplies
2/20/2021,2/22/2021,almadina halal meat & ,-10.5,,ALMADINA HALAL MEAT & EDMONTON AB,Undefined
6/29/2021,6/29/2021,payment - thank you paiement - merci,465.19,,PAYMENT - THANK YOU / PAIEMENT - MERCI,Payments
7/6/2021,7/6/2021,payment - thank you paiement - merci,444.64,,PAYMENT - THANK YOU / PAIEMENT - MERCI,Payments
6/22/2021,6/24/2021,shaw cablesystems calgary ab,-131.25,,SHAW CABLESYSTEMS CALGARY AB,Internet
6/22/2021,6/23/2021,raoab hunt&fish burnaby,-34.47,,RAO*AB HUNT&FISH BURNABY BC,Undefined
6/22/2021,6/23/2021,raoab hunt&fish burnaby,-45.38,,RAO*AB HUNT&FISH BURNABY BC,Undefined
6/22/2021,6/23/2021,real cdn superstore ,-201.88,,REAL CDN SUPERSTORE #1 EDMONTON AB,Undefined
6/23/2021,6/24/2021,castle bake restaurant ,-8.93,,CASTLE BAKE RESTAURANT EDMONTON AB,Meals and entertainment
6/24/2021,6/25/2021,amazon.ca210qn08y0 amazon.ca,-111.5,,AMAZON.CA*210QN08Y0 AMAZON.CA ON,Supplies
6/24/2021,6/25/2021,payment - thank you paiement - merci,1375,,PAYMENT - THANK YOU / PAIEMENT - MERCI,Payments
6/25/2021,6/25/2021,amzn mktp ca213941sm0 www.amazon.caon,-45.99,,AMZN MKTP CA*213941SM0 WWW.AMAZON.CAON,Supplies
6/25/2021,6/28/2021,telus pre-auth payment ab,-103.95,,TELUS PRE-AUTH PAYMENT 780-4932237 AB,Telephone and telecommunications
6/25/2021,6/28/2021,turquaz kebab house ,-71.94,,TURQUAZ KEBAB HOUSE EDMONTON AB,Meals and entertainment
6/25/2021,6/28/2021,mcdonalds ,-18.42,,MCDONALD'S #40030 EDMONTON AB,Meals and entertainment
6/25/2021,6/28/2021,save foods ,-103.96,,SAVE ON FOODS #6664 EDMONTON AB,Supplies
6/26/2021,6/28/2021,w8tech sa 7754504856,-126.39,,W8TECH SA 7754504856 CA,Undefined
6/27/2021,6/29/2021,save foods ,-28.14,,SAVE ON FOODS #6667 EDMONTON AB,Supplies
6/27/2021,6/29/2021,save foods ,-11.78,,SAVE ON FOODS #6667 EDMONTON AB,Supplies
6/27/2021,6/28/2021,amazon.ca216nj19i0 amazon.ca,-23.12,,AMAZON.CA*216NJ19I0 AMAZON.CA ON,Supplies
6/27/2021,6/28/2021,amzn mktp ca292j44jq1 www.amazon.caon,-15.97,,AMZN MKTP CA*292J44JQ1 WWW.AMAZON.CAON,Supplies
6/27/2021,6/28/2021,doordashshish shawarm downtown toroon,-29,,DOORDASH*SHISH SHAWARM DOWNTOWN TOROON,Internet
6/27/2021,6/28/2021,almadina halal meat & ,-21.64,,ALMADINA HALAL MEAT & EDMONTON AB,Undefined
6/28/2021,6/30/2021,cedar sweets ltd ,-31,,CEDAR SWEETS LTD EDMONTON AB,Undefined
6/28/2021,6/29/2021,payment - thank you paiement - merci,375,,PAYMENT - THANK YOU / PAIEMENT - MERCI,Payments
6/30/2021,6/30/2021,amzn mktp ca298xe9xs1 www.amazon.caon,-24.95,,AMZN MKTP CA*298XE9XS1 WWW.AMAZON.CAON,Supplies
6/30/2021,7/2/2021,doordashthe bedouins downtown toroon,-29.02,,DOORDASH*THE BEDOUINS DOWNTOWN TOROON,Undefined
6/30/2021,7/2/2021,corpcentre.ca,-26.25,,CORPCENTRE.CA 866-9062677 QC,Undefined
6/30/2021,7/2/2021,22568 macs conv. stores ,-11.95,,22568 MACS CONV. STORES EDMONTON AB,Undefined
6/30/2021,7/2/2021,stockscores.com kelowna,-204.75,,STOCKSCORES.COM KELOWNA BC,Undefined
6/30/2021,7/2/2021,googlegoogle storage internet,-2.79,,GOOGLE*GOOGLE STORAGE INTERNET NS,Undefined
6/30/2021,7/2/2021,7-eleven store ,-17.84,,7-ELEVEN STORE #37831 EDMONTON AB,Fuel costs
6/30/2021,7/2/2021,shoppers drug mart ,-11.82,,SHOPPER'S DRUG MART#2374 EDMONTON AB,Meals and entertainment
7/1/2021,7/2/2021,dollarama 758 ,-27.3,,DOLLARAMA # 758 EDMONTON AB,Supplies
7/1/2021,7/2/2021,tim hortons ,-2.49,,TIM HORTONS #2282 EDMONTON AB,Meals and entertainment
7/1/2021,7/2/2021,tim hortons ,-10.3,,TIM HORTONS #1645 EDMONTON AB,Meals and entertainment
7/2/2021,7/5/2021,petrocan-14110- 127 st nwedmonton ab,-75.52,,PETROCAN-14110- 127 ST NWEDMONTON AB,Fuel costs
7/2/2021,7/5/2021,the home depot ,-52.91,,THE HOME DEPOT #7119 EDMONTON AB,Supplies
7/2/2021,7/5/2021,the home depot ,-10.97,,THE HOME DEPOT #7119 EDMONTON AB,Supplies
7/2/2021,7/5/2021,sobeys namao ,-99.09,,SOBEYS NAMAO #5480 EDMONTON AB,Supplies
7/3/2021,7/5/2021,amzn mktp ca294em54z2 www.amazon.caon,-14.69,,AMZN MKTP CA*294EM54Z2 WWW.AMAZON.CAON,Supplies
7/3/2021,7/5/2021,platinum laser ltd. ,-57.75,,PLATINUM LASER LTD. EDMONTON AB,Undefined
7/3/2021,7/5/2021,the bedouins restaurant ,-51.98,,THE BEDOUINS RESTAURANT EDMONTON AB,Meals and entertainment
7/4/2021,7/5/2021,amzn mktp ca299043e40 www.amazon.caon,-82.82,,AMZN MKTP CA*299043E40 WWW.AMAZON.CAON,Supplies
7/4/2021,7/5/2021,j2 myfax services,-12.76,,J2 *MYFAX SERVICES 877-437-3607 CA,Undefined
7/5/2021,7/7/2021,save foods ,-20.55,,SAVE ON FOODS #6664 EDMONTON AB,Supplies
7/5/2021,7/7/2021,shoppers drug mart ,-21.81,,SHOPPER'S DRUG MART#2374 EDMONTON AB,Meals and entertainment
7/5/2021,7/6/2021,payment - thank you paiement - merci,590.5,,PAYMENT - THANK YOU / PAIEMENT - MERCI,Payments
7/5/2021,7/6/2021,cdn tire store ,-95.2,,CDN TIRE STORE #00397 EDMONTON AB,Supplies
7/6/2021,7/7/2021,amazon.ca2909b3911 amazon.ca,-56.28,,AMAZON.CA*2909B3911 AMAZON.CA ON,Supplies
7/6/2021,7/8/2021,shoppers drug mart ,-41.4,,SHOPPER'S DRUG MART#2374 EDMONTON AB,Meals and entertainment
7/6/2021,7/8/2021,shoppers drug mart ,-20.98,,SHOPPER'S DRUG MART#2374 EDMONTON AB,Meals and entertainment
